subject,total trials,hit,miss,cr,fa,omit,h25,m25,h50,m50,h500,m500,%h,%fa,%m,%cr,%omit,%h25,%h50,%h500,%m25,%m50,%m500,rt h,rt m,rt cr,rt fa,rt h25,rt m25,rt h50,rt m50,rt h500,rt m500
23,204,67,35,70,29,3,14.0,20.0,22.0,12.0,31.0,3.0,65.68627450980392,29.292929292929294,34.31372549019608,70.70707070707071,1.4705882352941178,41.1764705882353,64.70588235294117,91.17647058823529,58.8235294117647,35.294117647058826,8.823529411764707,24.91044776119403,83.62857142857143,94.15714285714286,20.344827586206897,23.857142857142858,79.6,31.59090909090909,85.75,20.64516129032258,102.0
14,209,45,58,92,13,1,8.0,26.0,11.0,24.0,26.0,8.0,43.689320388349515,12.380952380952381,56.310679611650485,87.61904761904762,0.4784688995215311,23.529411764705884,31.428571428571427,76.47058823529412,76.47058823529412,68.57142857142857,23.529411764705884,26.133333333333333,40.93103448275862,29.52173913043478,50.53846153846154,35.0,38.73076923076923,34.81818181818182,38.583333333333336,19.73076923076923,55.125
16,203,49,51,74,20,9,10.0,23.0,12.0,21.0,27.0,7.0,49.0,21.27659574468085,51.0,78.72340425531915,4.433497536945813,30.303030303030305,36.36363636363637,79.41176470588235,69.6969696969697,63.63636363636363,20.58823529411765,44.44897959183673,53.92156862745098,64.12162162162163,43.7,42.2,50.08695652173913,57.416666666666664,54.666666666666664,39.51851851851852,64.28571428571429
23,201,64,35,73,25,4,18.0,16.0,17.0,16.0,29.0,3.0,64.64646464646465,25.510204081632654,35.35353535353536,74.48979591836735,1.9900497512437811,52.94117647058823,51.515151515151516,90.625,47.05882352941177,48.484848484848484,9.375,38.25,102.91428571428571,91.68493150684931,43.44,38.22222222222222,97.875,64.58823529411765,110.3125,22.82758620689655,90.33333333333333
14,207,59,44,81,18,5,10.0,24.0,20.0,14.0,29.0,6.0,57.28155339805825,18.181818181818183,42.71844660194175,81.81818181818181,2.4154589371980677,29.41176470588235,58.8235294117647,82.85714285714286,70.58823529411765,41.1764705882353,17.142857142857142,46.728813559322035,31.818181818181817,28.91358024691358,81.22222222222223,50.5,33.958333333333336,72.25,25.428571428571427,27.82758620689655,38.166666666666664
19,199,36,55,91,7,10,2.0,26.0,6.0,26.0,28.0,3.0,39.56043956043956,7.142857142857143,60.43956043956044,92.85714285714286,5.025125628140704,7.142857142857143,18.75,90.3225806451613,92.85714285714286,81.25,9.67741935483871,55.166666666666664,89.85454545454546,64.16483516483517,139.28571428571428,96.5,105.26923076923077,82.16666666666667,68.46153846153847,46.42857142857143,141.66666666666666
13,197,41,48,74,19,15,4.0,25.0,15.0,15.0,22.0,8.0,46.06741573033708,20.43010752688172,53.93258426966292,79.56989247311827,7.614213197969543,13.793103448275861,50.0,73.33333333333333,86.20689655172414,50.0,26.666666666666668,28.682926829268293,104.91666666666667,98.75675675675676,60.526315789473685,26.25,96.08,27.4,101.26666666666667,30.0,139.375
14,208,49,54,84,19,2,6.0,27.0,12.0,22.0,31.0,5.0,47.57281553398058,18.446601941747574,52.42718446601942,81.55339805825243,0.9615384615384616,18.181818181818183,35.294117647058826,86.11111111111111,81.81818181818181,64.70588235294117,13.88888888888889,26.632653061224488,37.129629629629626,28.11904761904762,56.63157894736842,43.333333333333336,37.333333333333336,27.75,29.545454545454547,22.967741935483872,69.4
13,202,55,41,78,19,9,11.0,19.0,16.0,18.0,28.0,4.0,57.291666666666664,19.587628865979383,42.708333333333336,80.41237113402062,4.455445544554456,36.666666666666664,47.05882352941177,87.5,63.333333333333336,52.94117647058823,12.5,33.6,65.39024390243902,68.6025641025641,65.94736842105263,29.454545454545453,64.94736842105263,41.75,58.5,30.571428571428573,98.5
14,208,53,51,80,21,3,9.0,26.0,14.0,20.0,30.0,5.0,50.96153846153846,20.792079207920793,49.03846153846154,79.20792079207921,1.4423076923076923,25.714285714285715,41.1764705882353,85.71428571428571,74.28571428571429,58.8235294117647,14.285714285714286,31.28301886792453,36.372549019607845,29.4125,28.333333333333332,29.88888888888889,27.576923076923077,26.714285714285715,45.7,33.833333333333336,44.8
19,201,43,56,88,7,7,4.0,30.0,12.0,21.0,27.0,5.0,43.43434343434343,7.368421052631579,56.56565656565657,92.63157894736842,3.482587064676617,11.764705882352942,36.36363636363637,84.375,88.23529411764706,63.63636363636363,15.625,62.81395348837209,62.69642857142857,69.88636363636364,104.71428571428571,97.5,65.9,83.0,50.904761904761905,48.7037037037037,93.0
13,199,49,44,74,17,15,10.0,21.0,17.0,14.0,22.0,9.0,52.68817204301075,18.681318681318682,47.31182795698925,81.31868131868131,7.5376884422110555,32.25806451612903,54.83870967741935,70.96774193548387,67.74193548387096,45.16129032258065,29.032258064516128,32.204081632653065,77.13636363636364,75.1891891891892,58.23529411764706,49.1,61.23809523809524,27.823529411764707,100.78571428571429,27.90909090909091,77.44444444444444
